Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01031000,Live purebred breeding swine,2022,number,0.00,550.00,0.00,0.00,0.00,600.00,0.00,0.00,0.00,40.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",2022,number,406954.00,400072.00,498181.00,428742.00,416571.00,422264.00,376155.00,423043.00,429051.00,375407.00,415168.00,391453.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2022,number,108067.00,99379.00,140932.00,126665.00,135031.00,133953.00,118064.00,131274.00,124831.00,129741.00,132583.00,121018.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01041000,Live sheep,2022,number,3830.00,3721.00,3796.00,1816.00,2136.00,2801.00,1205.00,1977.00,2170.00,1567.00,2289.00,2089.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01042000,Live goats,2022,number,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051100,Live chickens weighing not over 185 g each,2022,number,876756.00,407395.00,673588.00,104362.00,81250.00,380205.00,177253.00,343354.00,562597.00,117324.00,149444.00,113288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051200,Live turkeys weighing not more than over 185 g each,2022,number,610955.00,529184.00,742068.00,499000.00,719475.00,713400.00,703132.00,669865.00,644905.00,554491.00,673459.00,448450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051300,"Live ducks, weighing not more than 185 g each",2022,number,72843.00,59560.00,90320.00,65100.00,87720.00,95784.00,70136.00,68920.00,83542.00,95144.00,88940.00,58140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051400,"Live geese, weighing not more than 185 g each",2022,number,2769.00,0.00,2700.00,2750.00,6040.00,4118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01059400,Live Poultry;Chickens,2022,number,25312.00,0.00,46589.00,17380.00,0.00,0.00,8418.00,30528.00,0.00,0.00,0.00,9454.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each",2022,number,49466.00,46133.00,31546.00,87390.00,64998.00,136020.00,128645.00,71687.00,124560.00,88279.00,58533.00,58265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061100,Live primates,2022,number,2764.00,1402.00,2972.00,3638.00,2218.00,2348.00,1286.00,3245.00,3156.00,2567.00,2362.00,1654.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061400,Live rabbits and hares,2022,number,23747.00,21885.00,21580.00,21724.00,26526.00,20042.00,25577.00,21263.00,26056.00,33107.00,25029.00,17698.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061930,Live foxes,2022,number,0.00,0.00,0.00,0.00,4.00,48.00,0.00,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061991,"Live mammals, not elsewhere specified or included",2022,number,62280.00,49884.00,64355.00,66814.00,65973.00,57421.00,38669.00,59589.00,61221.00,48195.00,43171.00,45061.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01062000,Live reptiles (including snakes and turtles),2022,number,52019.00,64744.00,113340.00,141591.00,146326.00,85073.00,80822.00,73543.00,58492.00,55307.00,84395.00,54147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063100,Live birds of prey,2022,number,0.00,4.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063901,"Live birds, other than poultry, birds of prey or psittaciforme birds",2022,number,7461.00,8716.00,7005.00,6450.00,2221.00,6319.00,4301.00,6412.00,4274.00,1503.00,5206.00,6819.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01064100,Bees,2022,kilograms,1307.00,355.00,442.00,7232.00,3962.00,6393.00,4092.00,2492.00,1549.00,857.00,546.00,253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01064900,Live insects other than bees,2022,kilograms,30598.00,36864.00,125150.00,67210.00,20832.00,21400.00,27342.00,21876.00,19522.00,63984.00,17790.00,14117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01069001,"Live animals other than mammals, reptiles, insects, and birds",2022,kilograms,229570.00,280689.00,555379.00,663027.00,1082568.00,1167333.00,863178.00,748463.00,544492.00,178095.00,227705.00,170316.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02011010,"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2",2022,kilograms,48807.00,48316.00,60425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2022,kilograms,286013.00,266851.00,362309.00,292850.00,356067.00,354127.00,289555.00,353737.00,313993.00,361666.00,347400.00,334754.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2022,kilograms,99219.00,115406.00,124081.00,106615.00,105452.00,95702.00,84737.00,102386.00,66241.00,94016.00,102543.00,92000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2022,kilograms,263965.00,229409.00,323479.00,221588.00,262553.00,254016.00,232145.00,331957.00,351192.00,353583.00,313409.00,307953.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2022,kilograms,9639480.00,9436711.00,10837637.00,9959626.00,10031761.00,10093353.00,9572797.00,8929224.00,8935932.00,9854660.00,10085380.00,9732944.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2022,kilograms,223733.00,327515.00,403645.00,384802.00,379063.00,335738.00,332538.00,319857.00,212044.00,314903.00,342324.00,297920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013010,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2022,kilograms,287802.00,264951.00,326513.00,271494.00,303971.00,275902.00,340967.00,363859.00,333967.00,318446.00,391366.00,344752.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2022,kilograms,1107440.00,1205342.00,1360934.00,1092359.00,1310488.00,1241384.00,1314316.00,1496484.00,1317640.00,1363246.00,1397514.00,1071351.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013050,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2022,kilograms,38208832.00,35711435.00,38323401.00,38377501.00,38565249.00,36181291.00,38015625.00,39120419.00,39135812.00,39956423.00,36199418.00,36011290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2022,kilograms,731599.00,694587.00,850060.00,1071691.00,1134635.00,986911.00,885661.00,1079696.00,863441.00,1088872.00,955369.00,889942.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2022,kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6316.00,0.00,0.00,11123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022010,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2022,kilograms,7213.00,8213.00,21580.00,17982.00,726.00,0.00,989.00,0.00,0.00,1272.00,0.00,21813.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2022,kilograms,66012.00,112194.00,270813.00,179828.00,144408.00,20189.00,12564.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022050,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2",2022,kilograms,712239.00,534259.00,491761.00,375522.00,483767.00,379029.00,411925.00,386202.00,435299.00,322317.00,433623.00,501940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2022,kilograms,44922.00,39919.00,54411.00,172503.00,125095.00,84221.00,87139.00,111475.00,158051.00,129994.00,114890.00,108986.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2022,kilograms,433287.00,505730.00,565871.00,489931.00,432304.00,498598.00,511775.00,414358.00,404710.00,409857.00,399562.00,341342.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2022,kilograms,2181753.00,1959779.00,2585325.00,1942395.00,2176780.00,2264280.00,1824884.00,2688819.00,2392126.00,1752322.00,2261968.00,2216920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023050,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2",2022,kilograms,55022884.00,37649401.00,52952013.00,27380929.00,30852684.00,27341741.00,24509152.00,24794540.00,21359533.00,24812972.00,26485686.00,32937140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2022,kilograms,1044787.00,580715.00,3093451.00,8677440.00,6238020.00,4654530.00,6013816.00,4599375.00,3843281.00,3408003.00,2629714.00,2983311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031100,"Carcasses and half-carcasses of swine, fresh or chilled",2022,kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50385.00,80085.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031210,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in",2022,kilograms,506887.00,595077.00,621744.00,351463.00,331280.00,378754.00,340479.00,347743.00,365317.00,325226.00,396919.00,376489.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031290,"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed",2022,kilograms,4536750.00,4454300.00,5236316.00,4955058.00,4735150.00,5081339.00,5124019.00,5327968.00,4311624.00,4490598.00,4785953.00,5747205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031920,"Meat of swine nesoi, retail cuts, fresh or chilled",2022,kilograms,2225524.00,2311037.00,3228863.00,2377450.00,2990717.00,2963487.00,1848954.00,1965256.00,1588786.00,1398813.00,1277178.00,1724440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031940,"Meat of swine, nesoi, non retail cuts, fresh or chilled",2022,kilograms,15571976.00,18318445.00,21271116.00,17491694.00,18022213.00,17239918.00,16185084.00,17277268.00,16551394.00,16387888.00,15543150.00,15247176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032100,"Carcasses and half-carcasses of swine, frozen",2022,kilograms,0.00,151803.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75052.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032210,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in",2022,kilograms,0.00,18199.00,19114.00,973.00,0.00,0.00,0.00,0.00,940.00,38908.00,176859.00,9472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032290,"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts",2022,kilograms,603707.00,1176552.00,526797.00,563221.00,402197.00,405717.00,300070.00,327038.00,290081.00,511331.00,518512.00,690539.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032920,"Frozen retail cuts of meat of swine, nesoi",2022,kilograms,643517.00,784281.00,640139.00,694271.00,542787.00,453051.00,277092.00,514426.00,660031.00,772929.00,672960.00,345786.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032940,"Frozen meat of swine, other than retail cuts, nesoi",2022,kilograms,17440529.00,16494159.00,18684027.00,22940635.00,18981280.00,17927798.00,14667430.00,14056546.00,12711412.00,12053078.00,12137750.00,10277277.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02041000,"Carcasses and half-carcasses of lamb, fresh or chilled",2022,kilograms,17629.00,0.00,2047.00,0.00,64334.00,52206.00,125381.00,114046.00,56855.00,6417.00,7497.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042100,"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled",2022,kilograms,123278.00,120266.00,0.00,117239.00,0.00,105069.00,112070.00,123154.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042220,"Cuts of lamb meat with bone in, fresh or chilled",2022,kilograms,2603132.00,1776028.00,4484707.00,3221326.00,2885834.00,2703459.00,2860101.00,2589317.00,2317219.00,2514795.00,3602209.00,2491252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042240,"Cuts of sheep meat with bone in, nesoi, fresh or chilled",2022,kilograms,0.00,0.00,0.00,18577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042320,"Boneless meat of lamb, fresh or chilled",2022,kilograms,1055903.00,638867.00,1738743.00,1400309.00,1147838.00,1154831.00,944649.00,1097981.00,926649.00,978580.00,1395668.00,1126140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042340,"Boneless meat of sheep, nesoi, fresh or chilled",2022,kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264382.00,0.00,0.00,127706.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02043000,"Carcasses and half-carcasses of lamb, frozen",2022,kilograms,209239.00,322277.00,337230.00,257746.00,624163.00,360136.00,484072.00,140619.00,286448.00,221186.00,153154.00,232592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044100,"Carcasses and half-carcasses of sheep, other than lamb, frozen",2022,kilograms,2957010.00,1831531.00,1821808.00,727761.00,2142650.00,1007625.00,1803999.00,1359149.00,1903415.00,1575201.00,890601.00,2656540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044220,"Cuts of lamb meat with bone in, frozen",2022,kilograms,3176539.00,2534220.00,2988922.00,3353892.00,3951404.00,3539201.00,3293317.00,2886743.00,2955505.00,2456359.00,1996402.00,2137104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044240,"Cuts of sheep meat with bone in, nesoi, frozen",2022,kilograms,1844070.00,852024.00,1068412.00,775867.00,1045597.00,699093.00,566439.00,1147736.00,1212986.00,878914.00,1548557.00,2067441.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044320,"Boneless meat of lamb, frozen",2022,kilograms,1443758.00,1025233.00,1292534.00,1350369.00,1439492.00,1548322.00,2348911.00,1929438.00,2508064.00,2174402.00,2195339.00,1822619.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044340,"Boneless meat of sheep, nesoi, frozen",2022,kilograms,38634.00,0.00,0.00,0.00,0.00,0.00,99798.00,138485.00,56072.00,78826.00,24044.00,2374.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02045000,"Meat of goats, fresh, chilled or frozen",2022,kilograms,2913031.00,1656894.00,2014817.00,3209453.00,2674276.00,1899945.00,893130.00,714577.00,1559431.00,1359766.00,1099191.00,887623.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2022,kilograms,92486.00,52544.00,36475.00,68856.00,70977.00,73625.00,53783.00,55023.00,54929.00,76759.00,91460.00,59988.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02061000,"Edible offal of bovine animals, fresh or chilled",2022,kilograms,1365096.00,1399310.00,1293014.00,1357053.00,1421168.00,1511847.00,1421849.00,1465504.00,1462013.00,1447868.00,1350550.00,1435817.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062100,"Tongues of bovine animals, frozen",2022,kilograms,141005.00,169940.00,74342.00,56620.00,75357.00,84491.00,111429.00,75510.00,111387.00,98802.00,62402.00,86321.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062200,"Livers of bovine animals, frozen",2022,kilograms,6693.00,4856.00,43024.00,62503.00,18217.00,17801.00,69054.00,24198.00,43043.00,32036.00,28369.00,14572.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062900,"Edible offal of bovine animals, except tongues or livers, frozen",2022,kilograms,4504480.00,4413597.00,4070931.00,4387731.00,3557209.00,3479687.00,3340466.00,3775826.00,3502097.00,3880709.00,3742868.00,3698426.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02063000,"Edible offal of swine, fresh or chilled",2022,kilograms,1153652.00,1339758.00,1498331.00,1275596.00,1527826.00,1555119.00,1650589.00,1396145.00,1270397.00,1318396.00,1302475.00,1312716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02064100,"Livers of swine, frozen",2022,kilograms,502724.00,471499.00,485955.00,276119.00,768620.00,416976.00,218445.00,239862.00,114305.00,186481.00,234129.00,210559.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02064900,"Edible offal of swine, except liver, frozen",2022,kilograms,2236046.00,1129278.00,1548213.00,1533037.00,1504843.00,1653996.00,2071758.00,1896659.00,1453315.00,1608817.00,1628485.00,1657170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02069000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2022,kilograms,653959.00,530805.00,701426.00,827387.00,676226.00,802320.00,724215.00,652496.00,766450.00,699373.00,658363.00,939140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071100,"Chickens, not cut in pieces, fresh or chilled",2022,kilograms,227256.00,285480.00,435703.00,378930.00,552545.00,548292.00,363106.00,356344.00,471073.00,390799.00,531219.00,362388.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071200,"Chickens, not cut in pieces, frozen",2022,kilograms,184753.00,128717.00,231036.00,99824.00,129310.00,83215.00,14243.00,73919.00,176659.00,119476.00,48693.00,9983.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071300,"Cuts and offal of chickens, fresh or chilled",2022,kilograms,674895.00,764309.00,876918.00,733821.00,905876.00,935331.00,901501.00,963588.00,899146.00,640645.00,827375.00,735010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071400,"Cuts and offal of chickens, frozen",2022,kilograms,5441535.00,4811772.00,5803179.00,5679728.00,4904269.00,6523669.00,5981706.00,7101774.00,5642730.00,6586153.00,4383543.00,4158025.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02072400,"Turkeys, not cut in pieces, fresh or chilled",2022,kilograms,1565.00,6145.00,6158.00,28094.00,60288.00,40723.00,77052.00,69652.00,7477.00,28382.00,134953.00,6795.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
