Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01039200,"Live swine, other than purebred breeding swine, weighing 50 kg or more",2024,number,158449.00,162601.00,164462.00,166281.00,178584.00,153482.00,149569.00,136645.00,147093.00,162036.00,146534.00,157368.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01041000,Live sheep,2024,number,1505.00,1313.00,1028.00,526.00,951.00,902.00,310.00,684.00,720.00,785.00,753.00,673.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051100,Live chickens weighing not over 185 g each,2024,number,215159.00,152342.00,405752.00,315892.00,262147.00,374658.00,313997.00,225245.00,192768.00,359845.00,132877.00,229155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051200,Live turkeys weighing not more than over 185 g each,2024,number,677875.00,687395.00,584178.00,789285.00,635750.00,673775.00,770307.00,795400.00,615325.00,689988.00,554575.00,505695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051300,"Live ducks, weighing not more than 185 g each",2024,number,73200.00,62767.00,68680.00,69920.00,76580.00,65811.00,73500.00,57200.00,55120.00,63260.00,60440.00,75560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01051400,"Live geese, weighing not more than 185 g each",2024,number,0.00,0.00,0.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01059400,Live Poultry;Chickens,2024,number,0.00,200.00,250.00,0.00,31906.00,0.00,0.00,300.00,0.00,120.00,43006.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01059900,"Live ducks, geese, turkeys and guineas, weighing over 185 g each",2024,number,62841.00,37292.00,65711.00,120237.00,83672.00,159226.00,146859.00,164142.00,124779.00,99783.00,80151.00,72480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061100,Live primates,2024,number,732.00,1249.00,1592.00,304.00,1358.00,1651.00,1468.00,706.00,1854.00,2317.00,2464.00,1320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061300,Live camels and other camelids (Camelidae),2024,number,0.00,0.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061400,Live rabbits and hares,2024,number,31573.00,24581.00,30634.00,21201.00,24247.00,21291.00,26303.00,15221.00,22737.00,12593.00,9883.00,9512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061930,Live foxes,2024,number,0.00,0.00,49.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01061991,"Live mammals, not elsewhere specified or included",2024,number,34022.00,26785.00,25632.00,34401.00,32227.00,22571.00,27493.00,21473.00,25313.00,36362.00,26119.00,28826.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01062000,Live reptiles (including snakes and turtles),2024,number,52571.00,53787.00,74497.00,116006.00,116868.00,75358.00,59921.00,49806.00,48405.00,74953.00,53425.00,51776.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063100,Live birds of prey,2024,number,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063200,"Live psittaciforme birds (including parrots, parakeets, macaws and cockatoos)",2024,number,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063300,Ostriches; emus,2024,number,0.00,0.00,1.00,0.00,1204.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01063901,"Live birds, other than poultry, birds of prey or psittaciforme birds",2024,number,8980.00,2441.00,4353.00,5367.00,1538.00,570.00,4364.00,6752.00,5890.00,7873.00,12727.00,1833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01064100,Bees,2024,kilograms,4212.00,8006.00,9031.00,9121.00,7816.00,7974.00,3338.00,6497.00,2951.00,3332.00,4907.00,3738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01064900,Live insects other than bees,2024,kilograms,25088.00,29636.00,111708.00,77342.00,17544.00,17266.00,9723.00,35735.00,16478.00,14214.00,18333.00,12150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,01069001,"Live animals other than mammals, reptiles, insects, and birds",2024,kilograms,192053.00,335682.00,548762.00,758417.00,1145143.00,1196816.00,913765.00,620093.00,417951.00,375196.00,259320.00,203193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02011010,"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2",2024,kilograms,71072.00,39815.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7726.00,19752.00,12667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2024,kilograms,225632.00,198553.00,235683.00,363748.00,334596.00,337292.00,363513.00,337720.00,427113.00,489834.00,444603.00,545103.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2024,kilograms,72962.00,83324.00,78004.00,56400.00,88407.00,78950.00,86491.00,70204.00,90127.00,108957.00,69295.00,100575.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2024,kilograms,356727.00,416164.00,489644.00,513662.00,425478.00,497224.00,473882.00,476489.00,469007.00,449717.00,415377.00,460744.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2024,kilograms,9784013.00,8763004.00,10162805.00,9285270.00,9268910.00,8632672.00,9212626.00,9459897.00,9676478.00,9608027.00,9600039.00,9419076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2024,kilograms,241325.00,283551.00,331917.00,485234.00,519429.00,418653.00,387301.00,254638.00,373374.00,358487.00,287885.00,385741.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013010,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2024,kilograms,249405.00,234354.00,257914.00,287717.00,342066.00,233157.00,261195.00,256008.00,363570.00,367246.00,314666.00,360788.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2024,kilograms,1514595.00,1428232.00,1661524.00,1650071.00,1572254.00,1527287.00,1683077.00,1860058.00,2012403.00,1750157.00,1625847.00,1509909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013050,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2024,kilograms,43084432.00,40027951.00,43841408.00,39549795.00,37998181.00,34829336.00,38345208.00,41831009.00,44535568.00,44331331.00,43389691.00,44415059.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2024,kilograms,1272096.00,2010227.00,2824422.00,3414482.00,4558324.00,4007984.00,5229058.00,3736271.00,4349723.00,4196494.00,3505316.00,2664021.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02021010,"Bovine carcasses and halves, frozen, descr. in add. US note 3 to Ch. 2",2024,kilograms,0.00,0.00,0.00,876.00,0.00,0.00,0.00,0.00,178549.00,0.00,38294.00,18303.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2024,kilograms,0.00,0.00,4593.00,0.00,0.00,0.00,79995.00,60780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022002,"High-qual. beef cuts w/bone in, processed, frozen, descr in gen. note 15 of the HTS",2024,kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022010,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2024,kilograms,15700.00,6656.00,1575.00,8688.00,1555.00,4717.00,1181.00,0.00,5117.00,6182.00,506.00,18735.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2024,kilograms,0.00,0.00,0.00,212.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022050,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2",2024,kilograms,499099.00,621206.00,419543.00,490560.00,474810.00,414535.00,354248.00,260101.00,350248.00,332302.00,410286.00,421517.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2024,kilograms,83108.00,62609.00,111161.00,118032.00,96963.00,79566.00,183534.00,1120636.00,1417977.00,1996857.00,1671521.00,1911049.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023006,"Bovine meat cuts, boneless, not processed, frozen, descr in gen. note 15 of the HTS",2024,kilograms,0.00,0.00,0.00,0.00,0.00,17149.00,17149.00,51742.00,34258.00,17136.00,51408.00,34258.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2024,kilograms,353677.00,372728.00,342159.00,262416.00,418348.00,224173.00,255337.00,201626.00,131851.00,384811.00,269292.00,285232.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2024,kilograms,1739142.00,1135055.00,1149259.00,1078680.00,1120443.00,1359763.00,1602542.00,1862420.00,1653915.00,1422442.00,1235540.00,2058456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023050,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2",2024,kilograms,79161264.00,52717788.00,37501860.00,37668880.00,41391321.00,43466990.00,47025330.00,44569300.00,41258910.00,50679387.00,55535063.00,69286860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2024,kilograms,4652483.00,5021015.00,11619901.00,10379092.00,11890696.00,16401792.00,24694405.00,29971532.00,19646413.00,23318136.00,27168135.00,14782424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031100,"Carcasses and half-carcasses of swine, fresh or chilled",2024,kilograms,140912.00,121531.00,132651.00,120454.00,67557.00,67504.00,51760.00,17050.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031210,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in",2024,kilograms,456973.00,474750.00,562172.00,357206.00,544846.00,526844.00,567040.00,356656.00,481184.00,584281.00,602268.00,636501.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031290,"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed",2024,kilograms,5686289.00,5003472.00,4313167.00,4052381.00,4670550.00,4605494.00,4101367.00,4300594.00,3832833.00,4325014.00,4183249.00,4294667.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031920,"Meat of swine nesoi, retail cuts, fresh or chilled",2024,kilograms,1008643.00,1071768.00,1056871.00,1142041.00,974385.00,1145691.00,822277.00,977178.00,824462.00,887939.00,654067.00,863681.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031940,"Meat of swine, nesoi, non retail cuts, fresh or chilled",2024,kilograms,14261793.00,14635011.00,15317166.00,13873475.00,13919253.00,14066678.00,14214506.00,13637731.00,13952734.00,14657328.00,14372367.00,13897035.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032100,"Carcasses and half-carcasses of swine, frozen",2024,kilograms,19865.00,8711.00,18476.00,20449.00,9891.00,8607.00,34507.00,30450.00,48781.00,49721.00,19903.00,94391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032210,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in",2024,kilograms,33515.00,0.00,0.00,0.00,0.00,18178.00,286.00,0.00,0.00,36371.00,61160.00,37008.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032290,"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts",2024,kilograms,1186908.00,1136848.00,1295552.00,1204636.00,1065939.00,977859.00,795148.00,643107.00,548312.00,758828.00,1653827.00,1224914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032920,"Frozen retail cuts of meat of swine, nesoi",2024,kilograms,475201.00,453267.00,604604.00,587377.00,471103.00,435753.00,720841.00,465680.00,317429.00,696105.00,854534.00,1032855.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032940,"Frozen meat of swine, other than retail cuts, nesoi",2024,kilograms,12799218.00,11723081.00,14587918.00,14477423.00,13626618.00,13431209.00,13245410.00,12823330.00,10707413.00,11526477.00,12535656.00,11355401.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02041000,"Carcasses and half-carcasses of lamb, fresh or chilled",2024,kilograms,0.00,24479.00,0.00,37285.00,32293.00,0.00,0.00,0.00,16620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042100,"Carcasses and half-carcasses of sheep, other than lamb, fresh or chilled",2024,kilograms,17541.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042220,"Cuts of lamb meat with bone in, fresh or chilled",2024,kilograms,2529740.00,2874930.00,4025400.00,2680016.00,2947582.00,3319095.00,3266096.00,3356546.00,2675931.00,3290833.00,2997460.00,3230815.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042240,"Cuts of sheep meat with bone in, nesoi, fresh or chilled",2024,kilograms,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042320,"Boneless meat of lamb, fresh or chilled",2024,kilograms,1188113.00,1614819.00,1788254.00,1285817.00,1567978.00,1633496.00,1966733.00,1576446.00,1251567.00,1399627.00,1577261.00,1724390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02043000,"Carcasses and half-carcasses of lamb, frozen",2024,kilograms,231721.00,214675.00,206593.00,343818.00,257105.00,486803.00,523357.00,325408.00,472622.00,374290.00,334673.00,293721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044100,"Carcasses and half-carcasses of sheep, other than lamb, frozen",2024,kilograms,642774.00,451629.00,976594.00,711285.00,489999.00,226331.00,257837.00,90769.00,582713.00,1063128.00,1347215.00,844918.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044220,"Cuts of lamb meat with bone in, frozen",2024,kilograms,3471340.00,2076336.00,2896466.00,3183382.00,2944973.00,2900200.00,2649459.00,2770593.00,2463135.00,2768480.00,2643405.00,2601061.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044240,"Cuts of sheep meat with bone in, nesoi, frozen",2024,kilograms,2124781.00,1224327.00,2131122.00,1650257.00,1191551.00,1127981.00,450196.00,861576.00,1384681.00,1377718.00,2172198.00,1285652.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044320,"Boneless meat of lamb, frozen",2024,kilograms,1635901.00,1182490.00,1628739.00,2320851.00,2767324.00,2421204.00,2605641.00,2652182.00,1839644.00,1995293.00,1803981.00,1650512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044340,"Boneless meat of sheep, nesoi, frozen",2024,kilograms,25009.00,0.00,0.00,23177.00,26901.00,42034.00,58464.00,24125.00,72615.00,30259.00,5356.00,28758.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02045000,"Meat of goats, fresh, chilled or frozen",2024,kilograms,1189470.00,1075727.00,1207900.00,1703718.00,2820701.00,2038468.00,2353091.00,2117422.00,1688131.00,2091621.00,2019077.00,1938025.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2024,kilograms,76118.00,59220.00,36158.00,75225.00,68486.00,27004.00,53003.00,36003.00,69768.00,37326.00,60188.00,85075.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02061000,"Edible offal of bovine animals, fresh or chilled",2024,kilograms,1564943.00,1631167.00,1924123.00,1722360.00,1570904.00,1542638.00,1669318.00,1795987.00,1842480.00,1567010.00,1385652.00,1355243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062100,"Tongues of bovine animals, frozen",2024,kilograms,157721.00,111098.00,78590.00,92772.00,78627.00,70618.00,113602.00,91131.00,189648.00,169499.00,214497.00,167412.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062200,"Livers of bovine animals, frozen",2024,kilograms,23688.00,89396.00,0.00,26554.00,16626.00,0.00,876.00,17072.00,55629.00,52318.00,17426.00,46879.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062900,"Edible offal of bovine animals, except tongues or livers, frozen",2024,kilograms,5588287.00,4714893.00,4688638.00,5173910.00,4793061.00,4250108.00,5131199.00,5122298.00,5757814.00,4635983.00,5263220.00,5469189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02063000,"Edible offal of swine, fresh or chilled",2024,kilograms,973135.00,992884.00,971659.00,1159447.00,1169023.00,1266233.00,1389834.00,1386016.00,1228327.00,466273.00,662345.00,592562.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02064100,"Livers of swine, frozen",2024,kilograms,13403.00,23365.00,47691.00,30733.00,25610.00,69690.00,80278.00,63675.00,52464.00,74655.00,52616.00,75793.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02064900,"Edible offal of swine, except liver, frozen",2024,kilograms,1299410.00,1282087.00,1217927.00,1040529.00,1342755.00,1432227.00,983417.00,1372485.00,1455390.00,1993224.00,1598790.00,1455690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02068000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",2024,kilograms,0.00,0.00,0.00,17993.00,15360.00,17056.00,17903.00,17487.00,0.00,0.00,18152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02069000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2024,kilograms,511787.00,412435.00,391944.00,526855.00,590577.00,342188.00,591301.00,582755.00,644935.00,571669.00,783990.00,704219.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071100,"Chickens, not cut in pieces, fresh or chilled",2024,kilograms,254349.00,258832.00,245702.00,195333.00,265564.00,319327.00,262857.00,382704.00,332995.00,311127.00,257918.00,231180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071200,"Chickens, not cut in pieces, frozen",2024,kilograms,16998.00,9759.00,25841.00,59456.00,121002.00,103733.00,128572.00,182237.00,116735.00,178361.00,67671.00,11494.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
