Data Type,HTS Number,Description,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,January_Suppressed,February_Suppressed,March_Suppressed,April_Suppressed,May_Suppressed,June_Suppressed,July_Suppressed,August_Suppressed,September_Suppressed,October_Suppressed,November_Suppressed,December_Suppressed
General First Unit of Quantity,01069001,"Live animals other than mammals, reptiles, insects, and birds",2023,kilograms,214893.00,336071.00,473476.00,731551.00,1125055.00,1323046.00,849192.00,649862.00,405903.00,362640.00,188554.00,152097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02011010,"Bovine carcasses and halves, fresh or chld., descr. in add. US note 3 to Ch. 2",2023,kilograms,38725.00,39184.00,42173.00,65062.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2023,kilograms,300224.00,329962.00,367357.00,298451.00,380986.00,337613.00,316750.00,295487.00,311890.00,407729.00,361554.00,288789.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012010,"High-qual. beef cuts, w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2023,kilograms,77953.00,94385.00,104754.00,93010.00,74542.00,79844.00,58870.00,58735.00,56142.00,74115.00,59933.00,59555.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2023,kilograms,280179.00,322959.00,292076.00,318060.00,349918.00,386973.00,435911.00,365754.00,353645.00,422415.00,347014.00,307598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012050,"Bovine meat cuts, w/bone in, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2023,kilograms,9956385.00,9210628.00,9929277.00,8930787.00,9388233.00,8826503.00,8988271.00,9147733.00,9184738.00,10677011.00,9835582.00,8926963.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2023,kilograms,198767.00,286264.00,376471.00,238099.00,295336.00,305082.00,342091.00,307010.00,265683.00,279182.00,333049.00,363995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013010,"High-qual. beef cuts, boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2023,kilograms,397452.00,341783.00,376639.00,327827.00,339163.00,344065.00,292785.00,219019.00,267351.00,290746.00,254958.00,203619.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, fresh or chld., descr in add. US note 3 to Ch. 2",2023,kilograms,1365284.00,1158334.00,1542422.00,1382512.00,1593778.00,1553428.00,1344272.00,1681622.00,1317563.00,1564931.00,1617637.00,1469914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013050,"Bovine meat cuts, boneless, not processed, fresh or chld., descr in add. US note 3 to Ch. 2",2023,kilograms,38205133.00,35038058.00,37603623.00,35949022.00,36947873.00,34944924.00,39413654.00,40016751.00,41464304.00,41789940.00,42695879.00,41173424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",2023,kilograms,811507.00,820523.00,1042612.00,981140.00,1481692.00,1914881.00,1447829.00,1569944.00,1376842.00,1531000.00,1710782.00,1821908.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2",2023,kilograms,0.00,0.00,0.00,0.00,52714.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022010,"High-qual. beef cuts, w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2023,kilograms,11061.00,4874.00,17650.00,8991.00,22462.00,955.00,1202.00,2188.00,314.00,0.00,3373.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022030,"Bovine meat cuts (except high-qual. beef cuts), w/bone in, processed, frozen, descr in add. US note 3 to Ch. 2",2023,kilograms,4662.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022050,"Bovine meat cuts, w/bone in, not processed, frozen, descr in add. US note 3 to Ch. 2",2023,kilograms,489427.00,428835.00,457548.00,515706.00,538189.00,516842.00,470703.00,466127.00,375596.00,399331.00,502803.00,450185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2023,kilograms,94981.00,103919.00,93019.00,45108.00,42641.00,74248.00,75553.00,41001.00,60689.00,118313.00,90150.00,58074.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023010,"High-qual. beef cuts, boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2023,kilograms,331374.00,283127.00,338502.00,288656.00,388590.00,546011.00,494223.00,396664.00,291585.00,373702.00,312495.00,245447.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023030,"Bovine meat cuts (except high-qual. beef cuts), boneless, processed, frozen, descr in add. US note 3 to Ch. 2",2023,kilograms,2410697.00,2038113.00,2833610.00,1794202.00,2088250.00,2004707.00,2119718.00,1811349.00,2052780.00,1789273.00,1750494.00,1507160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023050,"Bovine meat cuts, boneless, not processed, frozen, descr in add. US note 3 to Ch. 2",2023,kilograms,44715228.00,37977898.00,39401256.00,40498313.00,41946769.00,38647941.00,42879233.00,43614220.00,36647319.00,36273733.00,34742792.00,44430028.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",2023,kilograms,2797716.00,2720994.00,2038514.00,1618811.00,6313257.00,4715631.00,4452569.00,6549053.00,6191576.00,5489444.00,4704684.00,4256036.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031100,"Carcasses and half-carcasses of swine, fresh or chilled",2023,kilograms,103448.00,182340.00,144512.00,177174.00,161282.00,143439.00,196191.00,195048.00,53846.00,72451.00,88159.00,162537.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031210,"Fresh or chilled retail cuts of ham, shoulders and cuts thereof, with bone in",2023,kilograms,211916.00,183908.00,218410.00,148694.00,190409.00,294558.00,310269.00,259902.00,322451.00,363265.00,426751.00,359306.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031290,"Fresh or chilled hams, shoulders and cuts thereof, with bone in, other than processed",2023,kilograms,4860869.00,4885038.00,4972495.00,4192991.00,5063923.00,5970444.00,5833375.00,6020461.00,5422141.00,5635037.00,6144737.00,4968038.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031920,"Meat of swine nesoi, retail cuts, fresh or chilled",2023,kilograms,1368291.00,1762488.00,1436087.00,1224440.00,1318418.00,1530610.00,1874056.00,1122192.00,1143060.00,1444735.00,1515412.00,1355882.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02031940,"Meat of swine, nesoi, non retail cuts, fresh or chilled",2023,kilograms,15995262.00,14688246.00,15583190.00,12902484.00,13609270.00,14298796.00,13892575.00,13817252.00,13039579.00,13907968.00,13840255.00,13052467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032100,"Carcasses and half-carcasses of swine, frozen",2023,kilograms,0.00,0.00,0.00,13409.00,0.00,38922.00,0.00,25659.00,7211.00,59113.00,59958.00,99122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032210,"Frozen retail cuts of hams, shoulders and cuts thereof, with bone in",2023,kilograms,0.00,0.00,0.00,0.00,0.00,0.00,18187.00,0.00,0.00,18176.00,36372.00,15133.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032290,"Frozen hams, shoulders and cuts thereof, with bone in, other than retail cuts",2023,kilograms,330394.00,406892.00,666625.00,833062.00,360297.00,336754.00,185208.00,381405.00,294284.00,563770.00,855426.00,1052792.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032920,"Frozen retail cuts of meat of swine, nesoi",2023,kilograms,623006.00,641235.00,869339.00,821938.00,827106.00,710242.00,734874.00,794517.00,621530.00,856362.00,761732.00,446636.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02032940,"Frozen meat of swine, other than retail cuts, nesoi",2023,kilograms,10761878.00,9973442.00,11829001.00,11143979.00,10349134.00,10313436.00,10977174.00,10657116.00,12212357.00,15090646.00,13233523.00,13150216.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02041000,"Carcasses and half-carcasses of lamb, fresh or chilled",2023,kilograms,58487.00,0.00,702.00,0.00,0.00,0.00,0.00,0.00,31239.00,0.00,0.00,29479.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042220,"Cuts of lamb meat with bone in, fresh or chilled",2023,kilograms,2003185.00,1726626.00,3580939.00,1966338.00,2398055.00,2809647.00,2733051.00,2968533.00,2404068.00,3455915.00,3187720.00,2955543.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042320,"Boneless meat of lamb, fresh or chilled",2023,kilograms,804462.00,838831.00,1637604.00,893553.00,1008020.00,1068596.00,1037536.00,1144082.00,1004744.00,1337350.00,1412938.00,1200041.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02042340,"Boneless meat of sheep, nesoi, fresh or chilled",2023,kilograms,0.00,0.00,0.00,28778.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02043000,"Carcasses and half-carcasses of lamb, frozen",2023,kilograms,232922.00,187748.00,384741.00,280974.00,378311.00,228398.00,242535.00,474336.00,368811.00,474943.00,292448.00,214291.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044100,"Carcasses and half-carcasses of sheep, other than lamb, frozen",2023,kilograms,1969099.00,1398263.00,485183.00,920612.00,979344.00,197565.00,310775.00,236060.00,190600.00,245703.00,298259.00,305178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044220,"Cuts of lamb meat with bone in, frozen",2023,kilograms,2376548.00,1619572.00,2903388.00,2166588.00,2136873.00,1961398.00,2321799.00,2519070.00,2518069.00,2281957.00,2486573.00,2608755.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044240,"Cuts of sheep meat with bone in, nesoi, frozen",2023,kilograms,1828849.00,1708058.00,1384250.00,1089168.00,741021.00,578530.00,630579.00,1172786.00,666546.00,859014.00,746201.00,971316.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044320,"Boneless meat of lamb, frozen",2023,kilograms,1767197.00,1366957.00,1347238.00,781755.00,1078449.00,1168425.00,1273285.00,1772393.00,1682924.00,1756129.00,1228639.00,884231.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02044340,"Boneless meat of sheep, nesoi, frozen",2023,kilograms,34285.00,0.00,6912.00,0.00,0.00,0.00,0.00,3139.00,23013.00,22030.00,0.00,24951.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02045000,"Meat of goats, fresh, chilled or frozen",2023,kilograms,879460.00,601861.00,624006.00,849793.00,860429.00,756756.00,883369.00,928434.00,903690.00,895027.00,1227610.00,913601.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",2023,kilograms,54854.00,54149.00,72982.00,73522.00,36452.00,54635.00,55762.00,36814.00,18348.00,90731.00,56147.00,66017.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02061000,"Edible offal of bovine animals, fresh or chilled",2023,kilograms,1718263.00,1529466.00,1747091.00,1779529.00,1987435.00,1830937.00,1763808.00,1814857.00,1677685.00,1697713.00,1446637.00,1370424.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062100,"Tongues of bovine animals, frozen",2023,kilograms,162754.00,117660.00,164770.00,119003.00,109879.00,98503.00,100543.00,108191.00,112456.00,94001.00,102127.00,119481.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062200,"Livers of bovine animals, frozen",2023,kilograms,14233.00,35384.00,8467.00,8278.00,11114.00,311.00,3701.00,0.00,2711.00,18805.00,87411.00,52150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02062900,"Edible offal of bovine animals, except tongues or livers, frozen",2023,kilograms,4015158.00,3624733.00,4023745.00,3950368.00,3973097.00,3452580.00,3940853.00,3865990.00,4410641.00,4150427.00,3810467.00,4614209.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02063000,"Edible offal of swine, fresh or chilled",2023,kilograms,1355822.00,1330679.00,1548321.00,1148521.00,1340634.00,1314005.00,1208479.00,1269096.00,1268834.00,1167110.00,1097050.00,1123648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02064100,"Livers of swine, frozen",2023,kilograms,245063.00,93441.00,23924.00,18210.00,29485.00,32236.00,32734.00,25725.00,33979.00,18150.00,29812.00,39300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02064900,"Edible offal of swine, except liver, frozen",2023,kilograms,1874604.00,1691433.00,1474215.00,1161190.00,1461780.00,1677285.00,1406749.00,1643505.00,1449323.00,1513814.00,1580540.00,1599427.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02069000,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen",2023,kilograms,577313.00,529371.00,851443.00,592296.00,591650.00,447831.00,767559.00,448074.00,385794.00,442168.00,285250.00,268976.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071100,"Chickens, not cut in pieces, fresh or chilled",2023,kilograms,381941.00,243019.00,290661.00,147260.00,253200.00,288148.00,163020.00,348242.00,290191.00,293726.00,238954.00,227482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071200,"Chickens, not cut in pieces, frozen",2023,kilograms,0.00,7400.00,12747.00,10386.00,109317.00,225707.00,205336.00,198541.00,332342.00,221822.00,61910.00,639.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071300,"Cuts and offal of chickens, fresh or chilled",2023,kilograms,800219.00,884891.00,1071668.00,729786.00,970243.00,944880.00,727390.00,1053614.00,935302.00,922357.00,1012922.00,857296.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02071400,"Cuts and offal of chickens, frozen",2023,kilograms,4298045.00,3387036.00,4943810.00,1902008.00,1680621.00,4277120.00,2184666.00,3145570.00,5073375.00,5418830.00,4513417.00,5073782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02072400,"Turkeys, not cut in pieces, fresh or chilled",2023,kilograms,4536.00,24095.00,28544.00,17467.00,4371.00,4177.00,2135.00,3121.00,7182.00,7822.00,49637.00,3523.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02072520,"Turkeys, not cut in pieces, valued less than 88 cents/kg, frozen",2023,kilograms,0.00,0.00,0.00,0.00,0.00,92365.00,384982.00,337471.00,102261.00,57113.00,8596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General First Unit of Quantity,02072540,"Turkeys, not cut in pieces, valued 88 cents or more per kg, frozen",2023,kilograms,15069.00,116798.00,288118.00,438848.00,440466.00,642275.00,337702.00,113982.00,178543.00,199443.00,212798.00,37414.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
